date,product_id,name,origin,suppliers,packaging,price_total,price_unit,price_ref,ref_format,iva,url
2025-11-16,30167,Huevos,Castilla La Mancha,"Avícola Barco, S.L., Avícola Mondejana, S.L., Dagu, Explotaciones Avícolas García Puente, S.A., Granja Pinilla, Grupo Eurovo, Huevos Guillen, Huevos Guillen Canarias, S.L.U., Huevos Guillen S.L., INDUSTRIAS AVICOLAS HERPOGA, S.L., S.A.T. Nº 1733 GRANJA SAN MIGUEL",Paquete,5.75,0.24,2.875,dc,,https://tienda.mercadona.es/product/30167/huevos-tamanos-diferentes-paquete
2025-11-16,31592,Huevos super grandes XL,Castilla La Mancha,"Avícola Barco, S.L., Avícola Mondejana, S.L., Dagu S.A., Explotaciones Avícolas García Puente, S.A., GRANJA PINILLA, S.L, Granja Pinilla, Huevos Guillen Canarias, S.L.U., Huevos Guillen S.L., Huevos Guillen, S.L., Marcopolo comercio, S.L. (GRUPO EUROVO), Mercadona, Sat 1733 Granja San Miguel",Paquete,4.40,0.37,4.400,dc,,https://tienda.mercadona.es/product/31592/huevos-super-grandes-xl-paquete
2025-11-16,31504,Huevos grandes L,Castilla La Mancha,"Avicola Ballester, Sa, Avicola Son Perot, SA, Avícola Barco, S.L., Avícola Mondejana, S.L., Dagu S.A., Explotaciones Avícolas García Puente, S.A., GRANJA PINILLA, S.L, Granja Pinilla, Huevos Guillen Canarias, S.L.U., Huevos Guillen S.L., Marcopolo comercio, S.L. (GRUPO EUROVO), Mercadona, Sat 1733 Granja San Miguel",Paquete,3.30,0.28,3.300,dc,,https://tienda.mercadona.es/product/31504/huevos-grandes-l-paquete
2025-11-16,31540,Huevos grandes L,Castilla La Mancha,"Avícola Barco, S.L., Avícola Mondejana, S.L., GRANJA PINILLA, S.L, Granja Pinilla, Huevos Guillen Canarias, Huevos Guillen Canarias, S.L.U., Huevos Guillen S.L., Marcopolo comercio, S.L. (GRUPO EUROVO), Mercadona",Paquete,1.80,0.30,3.600,dc,,https://tienda.mercadona.es/product/31540/huevos-grandes-l-paquete
2025-11-16,31505,Huevos medianos M,Castilla La Mancha,"Avicola Ballester, Sa, Avicola Son Perot, SA, Avícola Barco, S.L., Avícola Mondejana, S.L., Dagu S.A., Explotaciones Avícolas García Puente, S.A., GRANJA PINILLA, S.L, Huevos Guillen Canarias, S.L.U., Huevos Guillen S.L., Marcopolo comercio, S.L. (GRUPO EUROVO), Mercadona, Sat 1733 Granja San Miguel",Paquete,3.10,0.26,3.100,dc,,https://tienda.mercadona.es/product/31505/huevos-medianos-m-paquete
2025-11-16,15768,Huevos de gallinas camperas,,"Aviman Explotaciones Ganaderas S.L., Granja Pinilla, Huevos Guillen Canarias, S.L.U., Huevos Guillen S.L., Mercadona, Sat 1733 Granja San Miguel",Paquete,3.70,0.31,3.700,dc,,https://tienda.mercadona.es/product/15768/huevos-gallinas-camperas-paquete
2025-11-16,31310,Huevos de gallinas camperas,,"Avicola Ballester, SA, Avicola Ballester, Sa, Avicola Son Perot, SA, Aviman Explotaciones Ganaderas S.L., GRANJA PINILLA, S.L, Granja Pinilla, Huevos Guillen Canarias, S.L.U., Huevos Guillen S.L., Mercadona, Sat 1733 Granja San Miguel",Paquete,2.20,0.37,4.400,dc,,https://tienda.mercadona.es/product/31310/huevos-gallinas-camperas-paquete
2025-11-16,31010,Huevos cocidos,España,HUEVOS GUILLEN S.L,Paquete,2.20,0.37,4.400,dc,,https://tienda.mercadona.es/product/31010/huevos-cocidos-paquete
2025-11-16,31011,Huevos de codorniz,España,Huevos Guillen S.L.,Paquete,1.85,0.10,1.234,dc,4.0,https://tienda.mercadona.es/product/31011/huevos-codorniz-paquete
2025-11-16,31312,Claras de huevo líquidas pasteurizadas,España,HUEVOS GUILLEN S.L,Botella,2.85,2.85,2.850,L,10.0,https://tienda.mercadona.es/product/31312/claras-huevo-liquidas-pasteurizadas-botella
2025-11-16,31309,Claras de huevo líquidas pasteurizadas,España,HUEVOS GUILLEN S.L,Botella,1.70,5.67,5.667,L,10.0,https://tienda.mercadona.es/product/31309/claras-huevo-liquidas-pasteurizadas-botella
